 
==== Analyse Plant Illumination ====
 
Statistical Analysis of Nuclei with Regional Max =
    Area    MajorAxisLength    MinorAxisLength    Circularity    Perimeter    MeanIntensity    MinIntensity    MaxIntensity
    102         11.638             11.537            1.0004       35.794         20.422              4              45     
    338         25.313             17.524           0.82308       71.836         69.796              5             252     
     87         13.882             8.3719            0.8537       35.786         12.494              1              36     
     57         11.247             6.6095             1.089       25.646          2.807              0               9     
    144         17.383              11.17           0.96685       43.262         31.535              8              74     
    237         19.591             15.995            1.0218       53.988             94              1             222     
    170         16.305             13.587            1.0998       44.072         65.647              4             146     
     84         13.008             8.5166            0.9777       32.858         38.595              7              77     
    115         16.227             9.6733           0.92164       39.598         19.617              1              50     
    146         18.482             10.447           0.94458       44.072          62.11              5             168     
    158         15.743             13.111            1.0165       44.196         15.373              2              47     
    133         14.724             11.646            1.1067       38.862          32.18              4              65     
     68         10.704             8.5729           0.94391       30.088         27.824              9              55     
    254         21.403             16.158           0.82853       62.068         36.846              0             103     
     84         14.488              7.856           0.92847       33.718         15.845              1              33     
    408         24.484             21.354            1.0568       69.652         146.14              4             251     
     60         12.909             6.2647           0.87767        29.31         22.117              3              44     
    231         18.749             16.028            1.0011       53.848         44.463              3             119     
    230         18.969             15.601            1.0291       52.996          66.67              3             158     
    375         25.242             19.144            0.9922       68.916         165.07             12             255     
    320         23.209             17.803            1.0438       62.068         107.41             11             214     
    100         13.756             9.6888           0.92652       36.828          29.02              6              68     
    143         15.296              12.44            1.0022       42.344         57.664              9             120     
     80         11.393             9.2716            1.1411       29.682          18.25              3              37     
    102         18.411             7.7481           0.77607        40.64         32.147             10              57     
    153         16.839             11.776            1.0152       43.518          39.49             13              98     
     79         14.391             8.2035           0.78314       35.604         28.886              7              60     
    335         24.139             18.824           0.72623       76.136         45.901              5             105     
    385          32.59             15.695            0.7683       79.354         95.553             17             191     
    344         24.677             18.037           0.97167         66.7         116.91              8             234     
    161         17.756             12.374           0.85292       48.704         46.851              0              93     
    118         14.422             10.621            1.0569       37.456          60.11             10             117     
     66         11.222             7.6521            1.1487        26.87         2.8485              0              11     
     83         12.512              8.827           0.90141       34.016         17.566              0              33     
    117          13.99              10.89            1.0545        37.34         48.632             12             102     
    332         21.864             19.467              1.06       62.738         152.98             16             243     
     96         11.895             10.732            1.0421       34.024         26.844              7              68     
     58         11.107              6.846            1.0982       25.762         2.6207              0              11     
    264         18.936             18.145             1.044        56.37         85.061             23             192     
    280         20.313             17.845           0.90151       62.474         52.421              5             128     
    157         16.438             12.877           0.86161       47.852         29.236              8              54     
    395         25.801             19.583            1.0339       69.288         192.04             12             255     
    157             16             12.734           0.99693       44.486         49.083              9             101     
    220         17.413             16.545           0.93412       54.402         40.041              7              80     
    127         15.615             10.725            1.0531       38.928         30.118              6              61     
     57         10.763             7.3292           0.90059       28.202         2.1579              0               8     
    126         13.102             12.591            1.0785       38.316         38.889             14              78     
    326         21.595             19.309            1.0657       62.002         118.24             14             207     
     55         10.627             6.9178            1.0414       25.762         3.2182              0              12     
    104          13.29             10.107            1.1246        34.09         51.087             11              85     
    190         16.931             14.548           0.99434       49.002         108.35             39             183     
    189         16.515             14.697            1.0452        47.67         49.794             14              97     
    366         25.955             18.033            1.0181       67.212         160.11             12             249     
    232         22.686             13.624           0.73833       62.838         41.828              2              87     
    108         15.476             9.0942           0.90207       38.788         76.824             34             132     
     78         12.321             8.3541           0.99502       31.386         48.897             22              81     
    125         13.665             12.204           0.93727       40.938          31.96              5              63     
    177         18.898             12.516           0.89227       49.928         42.559             10              87     
    128         14.754             11.728           0.91559       41.914         53.891             19             108     
